Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.01,2021-04-06 00:00:00,2017-10-06,MYBVH1702926,MYSUK170292=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Guangdong Sihui Rural Commercial Bank Co Ltd,SIHRB,6.1,2021-04-11 00:00:00,2018-04-10,CND10000LQW6,CN1821010=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,14641288,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-04-04
Atrium Ljungberg AB,ATRLJ,0.743,2021-04-19 00:00:00,2018-04-19,SE0011088756,SE0011088756=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,57018394,,Yes,Home Builders,Retail Real Estate Rental & Development,Sweden,6531,Clean Transport,True,2018-04-11
Zhongyuan Bank Co Ltd,ZYBCL,4.7,2021-04-25 00:00:00,2018-04-24,CND10000LTB4,CN1820015=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,219619326,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2018-04-19
Hua Nan Commercial Bank Ltd,HUANAB,0.69,2021-04-25 00:00:00,2018-04-25,TW000G189AR7,TWG189AR=,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,34120376,,Yes,Banking,Corporate Banks,Taiwan,6029,Energy Efficiency,False,2018-04-19
Banco Nacional de Costa Rica,BNACR,5.875,2021-04-25 00:00:00,2016-04-25,US059613AC35,059613AC3=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,High Yield,Yes,Agency,Banks (NEC),Costa Rica,6021,Energy Efficiency,False,2016-04-20
Banco Nacional de Costa Rica,BNACR,5.875,2021-04-25 00:00:00,2016-04-25,USP14623AC98,CR140183261=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,High Yield,Yes,Agency,Banks (NEC),Costa Rica,6021,Energy Efficiency,False,2016-04-20
Envision Energy Overseas Capital Co Ltd,EEOCA,7.5,2021-04-26 00:00:00,2018-04-26,XS1798001449,VG179800144=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,300000000,,Yes,Financial - Other,Renewable Utilities,British Virgin Islands,6799,Energy Efficiency,False,2018-04-19
Electricite de France SA,EDF,2.25,2021-04-27 00:00:00,2013-11-27,FR0011637586,FR099749342=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,1654377008,Investment Grade,Yes,Agency,Multiline Utilities,France,4911,Energy Efficiency,True,2013-11-20
UITM Solar Power Sdn Bhd,UITMPS,5.1,2021-04-27 00:00:00,2018-04-27,MYBVG1801761,MYSUK180176=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,2406738,,Yes,Gas Utility - Pipelines,Electric Utilities (NEC),Malaysia,4911,,False,2018-04-25
MTR Corporation CI Ltd,MTRCNC,2.56,2021-05-02 00:00:00,2018-05-02,HK0000416609,HK181543809=,Hong Kong Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,53291697,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Cayman Islands,6799,Clean Transport,False,2018-04-27
Ming Yang Smart Energy Group Ltd,GDWPI,6.1,2021-05-02 00:00:00,2018-04-27,CND100016JY4,CN131800010=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,73206442,,Yes,Electronics,Renewable Energy Equipment & Services (NEC),China (Mainland),3511,Energy Efficiency,True,2018-04-25
China Jushi Co Ltd,CNFBG,5,2021-05-07 00:00:00,2018-05-03,CND100016LR4,CN131800011=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,29282576,,Yes,Building Products,Synthetic Fibers,China (Mainland),3229,Eligible Green Projects,True,2018-05-02
Stockholm Exergi Holding AB (publ),STEXE,0.706,2021-05-18 00:00:00,2015-05-18,SE0007075122,SE0007075122=,Swedish Krona,Sweden,Corporate,Note,Fixed Margin over Index,114036788,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),Sweden,4911,Energy Efficiency,False,2015-05-12
East Renewable AB,ESTRW,13.5,2021-05-21 00:00:00,2019-05-21,NO0010852429,NO1085242=,Euro,Norway,Corporate,Bond,Plain Vanilla Fixed Coupon,88627339,,Yes,Financial - Other,Wind Systems & Equipment,Sweden,6799,Eligible Green Projects,False,2019-05-10
Banco de Comercio Exterior de Colombia SA,BDCOM,6.05,2021-05-24 00:00:00,2018-05-24,COB31CB00306,COB31CB00306=PIPC,Colombian Peso,Colombia,Agency,Bond,Plain Vanilla Fixed Coupon,26954177,,Yes,Agency,Import-Export Banks,Colombia,6029,,False,2018-05-24
Wallenstam AB,WALL,0.769,2021-05-24 00:00:00,2019-05-24,SE0011643329,SE0011643329=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Home Builders,Residential Real Estate Rental & Development,Sweden,1522,Eligible Green Projects,True,2019-05-15
BTS Group Holdings PCL,BTS,2.51,2021-05-24 00:00:00,2019-05-24,TH0221031501,THBTSG215A=,Thai Baht,Thailand,Corporate,Bond,Plain Vanilla Fixed Coupon,31887755,,Yes,Transportation - Other,Commuting Services,Thailand,4111,Clean Transport,True,2019-04-30
LTC GB Ltd,GEELYL,2.75,2021-05-26 00:00:00,2016-05-26,XS1412748136,VG141274813=,US Dollar,Eurobond Market,Corporate,Bond,Plain Vanilla Fixed Coupon,400000000,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),British Virgin Islands,6799,Clean Transport,False,2016-05-19
Humlegarden Fastigheter AB,HUMLG,0.946,2021-05-28 00:00:00,2018-05-28,SE0010599241,SE0010599241=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,45614715,,Yes,Home Builders,Land Division & Subdivision,Sweden,6531,Eligible Green Projects,False,2018-05-28
Humlegarden Fastigheter AB,HUMLG,1.035,2021-05-28 00:00:00,2018-05-28,SE0010599233,SE0010599233=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,79825751,,Yes,Home Builders,Land Division & Subdivision,Sweden,6531,Eligible Green Projects,False,2018-05-28
Huishang Bank Corp Ltd,HUISH,4.5,2021-05-29 00:00:00,2018-05-25,CND100010K22,CN1820023=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,585651537,,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,True,2018-05-22
Korea Development Bank,KDB,2.35,2021-05-29 00:00:00,2018-05-29,KR310221G855,KR310221G85=,Korean (South) Won,South Korea,Agency,Bond,Plain Vanilla Fixed Coupon,252680519,,Yes,Agency,Banks (NEC),South Korea,6021,Renewable Energy Projects,False,2018-05-29
Axis Bank Ltd (Dubai Branch),AXBKD,2.875,2021-06-01 00:00:00,2016-06-01,US05463CAD48,05463CAD4=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Banking,Corporate Banks,United Arab Emirates,6081,Clean Transport,False,2016-05-23
Axis Bank Ltd (Dubai Branch),AXBKD,2.875,2021-06-01 00:00:00,2016-06-01,XS1410341389,IN141034138=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Banking,Corporate Banks,United Arab Emirates,6081,Clean Transport,False,2016-05-23
Kommuninvest i Sverige AB,KOMEFS,1.875,2021-06-01 00:00:00,2017-05-23,US50049GAB86,50049GAB8=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Sweden,6159,Clean Transport,False,2017-05-17
Kommuninvest i Sverige AB,KOMEFS,1.875,2021-06-01 00:00:00,2017-05-23,XS1618289802,SE161828980=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Sweden,6159,Eligible Green Projects,False,2017-05-16
Credit Agricole Corporate and Investment Bank SA,CAGRAB,2.75,2021-06-02 00:00:00,2016-06-02,XS1367229488,FR136722948=,Australian Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,46699060,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2016-06-02
Westpac Banking Corp,WBC,3.1,2021-06-03 00:00:00,2016-06-03,AU3CB0237683,AUWBC0621=,Australian Dollar,Australia,Corporate,Bond,Plain Vanilla Fixed Coupon,363699845,Investment Grade,Yes,Banking,Banks (NEC),Australia,6029,Energy Efficiency,True,2016-05-25
TenneT Holding BV,TNETH,0.875,2021-06-04 00:00:00,2015-06-04,XS1241581179,NL124158117=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Utility - Other,Electrical Transmission & Grid Equipment,Netherlands,4931,Eligible Green Projects,False,2015-05-28
Guangdong Nanhai Rural Commercial Bank Co Ltd,NHRCB,4.87,2021-06-05 00:00:00,2018-06-04,CND100010LR7,CN1821022=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,87847730,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,False,2018-05-31
Zhe Jiang Chou Zhou Commercial Bank Co Ltd,ZJCZC,5,2021-06-07 00:00:00,2018-06-05,CND100010LB1,CN1820025=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,219619326,,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,False,2018-05-31
Sodra Skogsagarna EK,SODRA,1.581,2021-06-07 00:00:00,2016-06-07,SE0008431720,SE0008431720=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,114036788,,Yes,Conglomerate/Diversified Mfg,Paper Mills & Products,Sweden,2611,Energy Efficiency,False,2016-06-02
Bank of China (London Branch),BKCHNL,0.978,2021-06-07 00:00:00,2018-06-07,XS1830915572,CN183091557=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,500000000,Investment Grade,Yes,Banking,Banks (NEC),United Kingdom,6081,Eligible Green Projects,False,2018-05-31
Deutsche Kreditbank AG,BLGGD,0.625,2021-06-08 00:00:00,2016-06-08,DE000GRN0008,DEGRN000=,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Corporate Banks,Germany,6029,Energy Efficiency,False,2016-06-01
Fabege AB,FABG,0.661,2021-06-10 00:00:00,2018-09-10,SE0010599340,SE0010599340=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,45614715,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6519,Eligible Green Projects,True,2018-09-07
Industrial and Commercial Bank of China Ltd (London Branch),ICBATF,0.012,2021-06-14 00:00:00,2018-06-14,XS1831163396,CN183116339=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,590848931,Investment Grade,Yes,Banking,Banks (NEC),United Kingdom,6081,Clean Transport,False,2018-06-05
Industrial and Commercial Bank of China Ltd (London Branch),ICBATF,0.97913,2021-06-14 00:00:00,2018-06-14,XS1830984628,CN183098462=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,500000000,Investment Grade,Yes,Banking,Banks (NEC),United Kingdom,6081,Eligible Green Projects,False,2018-06-05
Industrial and Commercial Bank of China Asia Ltd,ICBCA,1.05638,2021-06-21 00:00:00,2018-06-21,XS1839369300,CN183936930=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,200000000,Investment Grade,Yes,Banking,Corporate Banks,Hong Kong,6081,Eligible Green Projects,False,2018-06-13
Huaneng Tiancheng Financial Leasing Co Ltd,TCLEA,6.5,2021-06-22 00:00:00,2018-06-21,,CN150502SH=,Chinese Yuan,China (Mainland),Corporate,Bond,Plain Vanilla Fixed Coupon,43923865,,Yes,Leasing,Consumer Leasing,China (Mainland),6211,,False,2018-06-21
SBAB Bank AB (publ),SBAB,1.048,2021-06-23 00:00:00,2016-06-23,XS1436518606,SE143651860=,Swedish Krona,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,114036788,Investment Grade,Yes,Banking,Banks (NEC),Sweden,6029,Green Construction,False,2016-06-16
SBAB Bank AB (publ),SBAB,1.036,2021-06-23 00:00:00,2016-06-23,XS1436728916,SE143672891=,Swedish Krona,Eurobond Market,Corporate,Note,Fixed Margin over Index,114036788,Investment Grade,Yes,Banking,Banks (NEC),Sweden,6029,Eligible Green Projects,False,2016-06-16
Vasakronan AB (publ),VASKNV,0.811,2021-06-30 00:00:00,2018-08-30,SE0011062967,SE0011062967=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,62720233,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,False,2018-08-23
"Gothenburg, Municipality of",GTBRG,1.455,2021-06-30 00:00:00,2015-06-30,XS1253847815,SE125384781=,Swedish Krona,Eurobond Market,Non-US Munis,Note,Plain Vanilla Fixed Coupon,119738627,Investment Grade,Yes,Official and Muni,,Sweden,9311,Eligible Green Projects,False,2015-06-23
Raiffeisen Bank International AG,RBIV,0.25,2021-07-05 00:00:00,2018-07-05,XS1852213930,AT185221393=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Austria,6029,Clean Transport,True,2018-07-03
Sarana Multi Infrastruktur (Persero) PT,SRMIF,7.55,2021-07-06 00:00:00,2018-07-06,IDA0000926A8,IDSRMIF0721=,Indonesian Rupiah,Indonesia,Corporate,Bond,Plain Vanilla Fixed Coupon,17073998,,Yes,Financial - Other,Corporate Financial Services (NEC),Indonesia,6799,Environmental Protection Projects,False,2018-06-06
Atrium Ljungberg AB,ATRLJ,0.668,2021-07-09 00:00:00,2018-07-09,SE0010832923,SE0010832923=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Home Builders,Retail Real Estate Rental & Development,Sweden,6531,Clean Transport,True,2018-07-03
Societe Generale (Taipei Branch),SOGNTW,0.7,2021-07-10 00:00:00,2019-07-10,TW000G137046,TWG13704=,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,20472226,,Yes,Banking,Banks (NEC),Taiwan,6081,Alternative Energy,False,2019-07-02
Huaneng Renewables Corp Ltd,SASAHR,3.9,2021-07-11 00:00:00,2016-07-11,CND10000CH30,CN136533SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Step Up / Step Down,166910688,,Yes,Utility - Other,Renewable Utilities,China (Mainland),4911,Environmental Protection Projects,False,2016-07-07
Akuo Energy SAS,AKUOE,5.5,2021-07-12 00:00:00,2016-07-12,FR0013188067,FR0013188067=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,58314426,,Yes,Utility - Other,Renewable Energy Equipment & Services (NEC),France,4911,Energy Efficiency,False,2016-07-11
Guangdong Huaxing Bank Co Ltd,HUAXG,4.8,2021-07-12 00:00:00,2018-07-10,CND1000116Q1,CN1820033=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-07-05
Bank of China Ltd (Luxembourg Branch),BKCHNX,2.25,2021-07-12 00:00:00,2016-07-12,XS1437622977,CN143762297=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1000000000,Investment Grade,Yes,Banking,Banks (NEC),Luxembourg,6081,Clean Transport,False,2016-07-05
Bank of China Ltd (Luxembourg Branch),BKCHNX,0.75,2021-07-12 00:00:00,2016-07-12,XS1437623355,CN143762335=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Luxembourg,6081,Clean Transport,False,2016-07-05
Hang Lung Properties Ltd,HALUP,5,2021-07-16 00:00:00,2018-07-13,CND100011246,CN101800756=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,146412884,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Hong Kong,6552,Eligible Green Projects,True,2018-07-10
Bancolombia SA,BIC,4.84694,2021-07-18 00:00:00,2018-07-18,COB07CB00595,COB07CB00595=PIPC,Colombian Peso,Colombia,Corporate,Bond,Fixed Margin over Index,41322371,,Yes,Banking,Banks (NEC),Colombia,6021,,True,2018-07-18
Shanghai Pudong Development Bank Co Ltd,SPDEV,3.4,2021-07-18 00:00:00,2016-07-14,CND100009ZG2,CN1628012=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,2196193265,,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,True,2016-07-11
Innovatec,INCI,2,2021-07-21 00:00:00,2014-10-21,IT0005057770,IT505777=,Euro,Italy,Corporate,Bond,Step Up / Step Down,11816978,,Yes,Service - Other,Multiline Utilities,Italy,4911,Energy Efficiency,True,2014-10-21
Toyota Motor Credit Corp,TOYOMF,0,2021-07-21 00:00:00,2017-11-21,XS1720639779,JP172063977=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,709018718,Investment Grade,Yes,Financial - Other,Consumer Lending (NEC),United States,6141,Acquisition,False,2017-11-17
Qingdao Rural Commercial Bank Corp,QDRCB,4.5,2021-07-24 00:00:00,2018-07-20,CND100017227,CN1821029=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2018-07-17
Tadau Energy Sdn Bhd,KGYEYT,5,2021-07-27 00:00:00,2017-07-27,MYBVH1702215,MYSUK170221=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,3610108,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,Project Finance,False,2017-07-27
Treasury Corporation of Victoria,TCV,1.75,2021-07-27 00:00:00,2016-07-27,AU0000XVGHK0,AUT01750721=,Australian Dollar,Australia,Agency,Note,Plain Vanilla Fixed Coupon,218219907,Investment Grade,Yes,Agency,Investment Management & Fund Operators (NEC),Australia,6799,Alternative Energy,False,2016-07-18
Credit Agricole Corporate and Investment Bank SA,CAGRAB,8.04,2021-07-28 00:00:00,2017-07-27,XS1566936180,FR156693618=,Brazilian Real,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1132182,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-06-15
Renew Power Pvt Ltd,RENPW,10.4,2021-07-30 00:00:00,2016-08-01,INE003S07148,INRENPW3021=,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Fixed then Floating,68079080,,Yes,Utility - Other,Renewable IPPs,India,4911,Energy Efficiency,False,2016-07-29
China Three Gorges Corp,SASADH,4,2021-08-03 00:00:00,2018-08-02,CND10001PSZ4,CN143744SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,366032210,,Yes,Industrials - Other,Renewable IPPs,China (Mainland),1629,Green Construction,False,2018-07-31
KfW,KFW,1.79,2021-08-06 00:00:00,2019-08-06,XS2036670607,DE203667060=,Hong Kong Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,38710676,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Energy Efficiency,False,2019-07-30
Lotte Property & Development Co Ltd,LOTEJC,1.167,2021-08-07 00:00:00,2018-08-07,XS1852560819,JP185256081=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,200000000,Investment Grade,Yes,Leasing,Hotels & Motels,South Korea,6512,Clean Transport,False,2018-07-31
Export-Import Bank of Korea,KEXIM,6.2,2021-08-07 00:00:00,2017-08-07,XS1655322102,KR165532210=,Indian Rupee,United States,Agency,Note,Plain Vanilla Fixed Coupon,43570611,Investment Grade,Yes,Agency,Import-Export Banks,South Korea,6111,Alternative Energy,False,2017-07-25
Export-Import Bank of Korea,KEXIM,6.2,2021-08-07 00:00:00,2017-08-07,XS1655322953,KR165532295=,Indian Rupee,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,43570611,Investment Grade,Yes,Agency,Import-Export Banks,South Korea,6111,Alternative Energy,False,2017-07-25
NTPC Ltd,NTPC,7.375,2021-08-10 00:00:00,2016-08-10,XS1467374473,IN146737447=,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,272316322,Investment Grade,Yes,Utility - Other,Independent Power Producers (NEC),India,4911,Energy Efficiency,True,2016-08-03
Hero Wind Energy Pvt Ltd,HERFTW,0,2021-08-15 00:00:00,2016-02-15,INE918T07020,INHERWI1521=,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Zero Coupon,17700560,,Yes,Financial - Other,Electric Utilities (NEC),India,6799,Alternative Energy,False,2016-02-15
Bank of Jiujiang Co Ltd,BKJIJ,4.25,2021-08-17 00:00:00,2018-08-15,CND10001LZT1,CN1820040=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,146412884,,Yes,Banking,Corporate Banks,China (Mainland),6021,Eligible Green Projects,True,2018-08-13
Stora Enso Oyj,STERV,0.858,2021-08-20 00:00:00,2019-02-20,XS1953912117,FI195391211=,Swedish Krona,Eurobond Market,Corporate,Note,Fixed Margin over Index,342110364,Investment Grade,Yes,Conglomerate/Diversified Mfg,Paper Products (NEC),Finland,2611,Eligible Green Projects,True,2019-02-13
